"Your Kindle Notes For:",,,
"PSYCHOLOGY",,,
"by Rose M. Spielman, OpenStax",,,
"Free Kindle instant preview:",,,
"https://a.co/20RlN62",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 346","","To apply the scientific method, a researcher with a question about how or why something happens will propose a tentative explanation, called a hypothesis, to explain the phenomenon."
"Highlight (Yellow)","Location 349","","Armed with the hypothesis, the researcher then makes observations or, better still, carries out an experiment to test the validity of the hypothesis."
"Highlight (Yellow)","Location 370","","Critical thinking is the active application of a set of skills to information for the understanding and evaluation of that information."
"Highlight (Yellow)","Location 372","","For example, critical thinking involves maintaining an attitude of skepticism, recognizing internal biases, making use of logical thinking, asking appropriate questions, and making observations."
"Highlight (Yellow)","Location 405","","Wundt viewed psychology as a scientific study of conscious experience, and he believed that the goal of psychology was to identify components of consciousness and how those components combined to result in our conscious experience."
"Highlight (Yellow)","Location 414","","This attempt to understand the structure or characteristics of the mind was known as structuralism."
"Highlight (Yellow)","Location 433","","Functionalism focused on how mental activities helped an organism fit into its environment."
"Highlight (Yellow)","Location 448","","Psychoanalytic theory focuses on the role of a person’s unconscious, as well as early childhood experiences,"
"Highlight (Yellow)","Location 470","","The word Gestalt roughly translates to “whole;” a major emphasis of Gestalt psychology deals with the fact that although a sensory experience can be broken down into individual parts, how those parts relate to each other as a whole is often what the individual responds to in perception."
"Highlight (Yellow)","Location 481","","other researchers had concerns that inner experience could be a legitimate subject of scientific inquiry and chose instead to exclusively study behavior, the objectively observable outcome of mental processes."
"Highlight (Yellow)","Location 494","","Watson was a major proponent of shifting the focus of psychology from the mind to behavior, and this approach of observing and controlling behavior came to be known as behaviorism."
"Highlight (Yellow)","Location 508","","Skinner spoke of reinforcement and punishment as major factors in driving behavior."
"Highlight (Yellow)","Location 519","","Skinner’s focus on positive and negative reinforcement of learned behaviors had a lasting influence in psychology that has waned somewhat since the growth of research in cognitive psychology."
"Highlight (Yellow)","Location 525","","They objected to the pessimism and determinism (all actions driven by the unconscious) of Freud. They also disliked the reductionism, or simplifying nature, of behaviorism. Behaviorism is also deterministic at its core, because it sees human behavior as entirely determined by a combination of genetics and environment."
"Highlight (Yellow)","Location 527","","Some psychologists began to form their own ideas that emphasized personal control, intentionality, and a true predisposition for “good” as important for our self-concept and our behavior."
"Highlight (Yellow)","Location 528","","Humanism is a perspective within psychology that emphasizes the potential for good that is innate to all humans."
"Highlight (Yellow)","Location 566","","The early work of the humanistic psychologists redirected attention to the individual human as a whole, and as a conscious and self-aware being."
"Highlight (Yellow)","Location 710","","our experience (or perception) is complex and is influenced by where we focus our attention, our previous experiences, and even our cultural backgrounds."
"Highlight (Yellow)","Location 714","","Thus, cognitive psychology is the area of psychology that focuses on studying cognitions, or thoughts, and their relationship to our experiences and our actions."
"Highlight (Yellow)","Location 756","","These five dimensions are known as the “Big Five” or the Five Factor model, and include dimensions of conscientiousness, agreeableness, neuroticism, openness, and extraversion"
